Ejercicio,REGION,Código Entidad,Entidad,Código Departamento,Departamento,Código Clase,Clase,Código Sección,Sección,Código Grupo,Grupo,Código Recurso,Recurso,Asignado,Modificado,Vigente,Devengado,Percibido
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPÓSITOS INTERNOS,3087000.00,0.00,3087000.00,1197918.81,1197918.81
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15300,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15310,ARRENDAMIENTO DE TIERRAS Y TERRENOS,15000.00,500000.00,515000.00,370647.35,370647.35
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16100,DEL SECTOR PRIVADO,16130,DE EMPRESAS PRIVADAS,16130,DE EMPRESAS PRIVADAS,1000000.00,0.00,1000000.00,154610.00,154610.00
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,36250000.00,0.00,36250000.00,33695651.57,33695651.57
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16400,DONACIONES CORRIENTES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,51350000.00,-26963750.00,24386250.00,1922076.98,1922076.98
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,237450000.00,0.00,237450000.00,173290873.84,173290873.84
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17230,DE EMPRESAS PUBLICAS NO FINANCIERAS,17232,DE EMPRESAS PÚBLICAS MUNICIPALES,30000000.00,0.00,30000000.00,29000000.00,29000000.00
2019,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,44361000.00,183920315.00,228281315.00,0.00,0.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,76100000.00,0.00,76100000.00,73008916.81,73008916.81
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,300000.00,0.00,300000.00,153391.43,153391.43
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,200000.00,0.00,200000.00,59400.00,59400.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTÁCULOS,130000.00,0.00,130000.00,134905.00,134905.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,1200000.00,0.00,1200000.00,1272955.00,1272955.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,28919322.00,0.00,28919322.00,27629944.88,27629944.88
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,350000.00,0.00,350000.00,21142.33,21142.33
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,800000.00,0.00,800000.00,1055911.90,1055911.90
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,8755000.00,0.00,8755000.00,5680183.46,5680183.46
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,360000.00,0.00,360000.00,117078.00,117078.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,3644500.00,0.00,3644500.00,3965573.69,3965573.69
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,9255000.00,0.00,9255000.00,4802281.06,4802281.06
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPÓSITOS INTERNOS,12000000.00,0.00,12000000.00,11286117.72,11286117.72
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16100,DEL SECTOR PRIVADO,16120,DE INSTITUCIONES PRIVADAS SIN FINES DE LUCRO,16120,DE INSTITUCIONES PRIVADAS SIN FINES DE LUCRO,0.00,69400.00,69400.00,34400.00,34400.00
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,10725000.00,0.00,10725000.00,10747669.01,10747669.01
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16400,DONACIONES CORRIENTES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,16420,DE ORGANISMOS E INSTITUCIONES INTERNACIONALES,0.00,1315300.56,1315300.56,1154158.90,1154158.90
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,51875000.00,0.00,51875000.00,52029284.66,52029284.66
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,17220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,10386178.00,5694364.06,16080542.06,6851064.42,6851064.42
2019,REGIÓN I METROPOLITANA,12100102,MUNICIPALIDAD DE SANTA CATARINA PINULA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,0.00,241019070.97,241019070.97,0.00,0.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,15032000.00,4484988.08,19516988.08,19516988.08,19516988.08
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,149150.00,0.00,149150.00,22333.74,22333.74
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,11300.00,0.00,11300.00,2175.00,2175.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10283,SOBRE ESTABLECIMIENTOS INDUSTRIALES,9300.00,0.00,9300.00,2680.00,2680.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTÁCULOS,57500.00,0.00,57500.00,75251.00,75251.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10287,SOBRE PRODUCTOS PRIMARIOS PECUARIOS,70.00,0.00,70.00,60.00,60.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,706000.00,0.00,706000.00,710239.02,710239.02
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,11800000.00,794095.64,12594095.64,10443720.15,10443720.15
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,820000.00,0.00,820000.00,598655.86,598655.86
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,850000.00,0.00,850000.00,409614.99,409614.99
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,700000.00,0.00,700000.00,549803.97,549803.97
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,13000,VTA. DE BIENES Y SERV. DE LA ADM. PÚBLICA,13200,VENTA DE SERVICIOS,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,13260,SERVICIOS ADMINISTRATIVOS MUNICIPALES,2095245.00,0.00,2095245.00,1222287.42,1222287.42
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14110,VENTA DE INSUMOS AGRÍCOLAS,14110,VENTA DE INSUMOS AGRÍCOLAS,6300.00,0.00,6300.00,605.00,605.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,14120,VENTA DE PRODUCTOS AGROPECUARIOS Y FORESTALES,500.00,0.00,500.00,1050.00,1050.00
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14100,VENTA DE BIENES,14190,VENTA DE OTROS BIENES,14190,VENTA DE OTROS BIENES,85000.00,0.00,85000.00,91650.21,91650.21
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,14000,INGRESOS DE OPERACION,14200,VENTA DE SERVICIOS,14240,SERVICIOS PÚBLICOS MUNICIPALES,14240,SERVICIOS PÚBLICOS MUNICIPALES,4997400.00,0.00,4997400.00,3349809.08,3349809.08
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,15000,RENTAS DE LA PROPIEDAD,15100,INTERESES,15130,POR DEPOSITOS,15131,POR DEPÓSITOS INTERNOS,750000.00,0.00,750000.00,832753.84,832753.84
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16210,DE LA ADMINISTRACIÓN CENTRAL,16210,DE LA ADMINISTRACIÓN CENTRAL,5584535.00,270638.40,5855173.40,5779895.69,5779895.69
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,16000,TRANSFERENCIAS CORRIENTES,16200,DEL SECTOR PÚBLICO,16220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,16220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,33300.00,0.00,33300.00,31190.49,31190.49
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17210,DE LA ADMINISTRACIÓN CENTRAL,17210,DE LA ADMINISTRACIÓN CENTRAL,27863150.00,822485.92,28685635.92,27980378.14,27980378.14
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,17000,TRANSFERENCIAS DE CAPITAL,17200,DEL SECTOR PÚBLICO,17220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,17220,DE ENTIDADES DESCENTRALIZADAS Y AUTÓNOMAS NO FINANCIERAS,0.00,38102757.39,38102757.39,15493486.61,15493486.61
2019,REGIÓN I METROPOLITANA,12100103,MUNICIPALIDAD DE SAN JOSÉ PINULA,0100,GUATEMALA,23000,DISMINUCIÓN DE OTROS ACTIVOS FINANCIEROS,23100,DISMINUCIÓN DE DISPONIBILIDADES,23110,DISMINUCIÓN DE CAJA Y BANCOS,23110,DISMINUCIÓN DE CAJA Y BANCOS,0.00,50121891.89,50121891.89,0.00,0.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,295000.00,0.00,295000.00,232706.11,232706.11
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10224,REGALÍAS,50000.00,0.00,50000.00,29110.91,29110.91
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10281,SOBRE ESTABLECIMIENTOS COMERCIALES,295100.00,0.00,295100.00,3450.00,3450.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,2130000.00,0.00,2130000.00,1697125.00,1697125.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10283,SOBRE ESTABLECIMIENTOS INDUSTRIALES,60000.00,0.00,60000.00,50.00,50.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTÁCULOS,20000.00,0.00,20000.00,150.00,150.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10285,"SOBRE PRODUCTOS PRIMARIOS, MINERALES Y VEGETALES",2400.00,0.00,2400.00,0.00,0.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,70000.00,0.00,70000.00,61720.00,61720.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,828814.33,81371.41,910185.74,874072.77,874072.77
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,160000.00,0.00,160000.00,66100.00,66100.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11600,MULTAS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,11610,ORIGINADAS POR INGRESOS NO TRIBUTARIOS,12500.00,0.00,12500.00,0.00,0.00
2019,REGIÓN I METROPOLITANA,12100104,MUNICIPALIDAD DE SAN JOSÉ DEL GOLFO,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11900,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,11990,OTROS INGRESOS NO TRIBUTARIOS,3600.00,0.00,3600.00,3880.00,3880.00
